Designator,Value,Footprint,LCSC Part Number
"C_0.1_1,C_0.1_2,C_0.1_3,C_0.1_4",C,Capacitor_SMD:C_0402_1005Metric,C1525
"C_10_5,C_10_6",C,Capacitor_SMD:C_0603_1608Metric,C96446
C_22_Tantalum_2,C_Polarized,Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T,C140371
J1,USB_C_Receptacle_USB2.0_16P,Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11,C319148
S1,SDS001R,KiCad:SDS001R,C221963
SW1,SW_SPDT,Button_Switch_SMD:SW_SPDT_PCM12,C221841
U2,LSM6DSV16XTR,LSM6DSV16XTR (1):XDCR_LSM6DSV16XTR,C5267406
U3,MAX17048G_T10,MAX17048G_T10 (1):SON50P200X200X80-9N,C2682616
U4,USBLC6-2SC6,Package_TO_SOT_SMD:SOT-23-6,C7519
"R_2.2k_3,R_2.2k_4",R_Small_US,Resistor_SMD:R_0402_1005Metric,C25879
"R_5.1k_1,R_5.1k_2",R_Small_US,Resistor_SMD:R_0402_1005Metric,C25905
"R_10k_5,R_10k_6",R_Small_US,Resistor_SMD:R_0402_1005Metric,C25744